"by Andy, x","by Andy, y","by 小狐狸🦊, x","by 小狐狸🦊, y"
2023-04-05 00:00:00,71,2023-04-05 00:00:00,58
2023-04-04 00:00:00,81,2023-04-04 00:00:00,57
2023-04-03 00:00:00,98,2023-04-03 00:00:00,89
2023-04-02 00:00:00,110,2023-04-02 00:00:00,94
2023-04-01 00:00:00,19,2023-04-01 00:00:00,10
2023-03-31 00:00:00,99,2023-03-31 00:00:00,87
2023-03-30 00:00:00,150,2023-03-30 00:00:00,124
2023-03-29 00:00:00,59,2023-03-29 00:00:00,53
2023-03-28 00:00:00,152,2023-03-28 00:00:00,111
2023-03-27 00:00:00,27,2023-03-27 00:00:00,24
2023-03-26 00:00:00,2,2023-03-26 00:00:00,1
2023-03-25 00:00:00,109,2023-03-25 00:00:00,84
2023-03-24 00:00:00,106,2023-03-24 00:00:00,73
2023-03-23 00:00:00,40,2023-03-23 00:00:00,29
2023-03-22 00:00:00,222,2023-03-22 00:00:00,195
2023-03-21 00:00:00,142,2023-03-21 00:00:00,174
2023-03-20 00:00:00,77,2023-03-20 00:00:00,58
2023-03-19 00:00:00,62,2023-03-19 00:00:00,41
2023-03-18 00:00:00,106,2023-03-18 00:00:00,94
2023-03-17 00:00:00,114,2023-03-17 00:00:00,99
2023-03-16 00:00:00,143,2023-03-16 00:00:00,150
2023-03-15 00:00:00,35,2023-03-15 00:00:00,34
2023-03-14 00:00:00,21,2023-03-14 00:00:00,19
2023-03-13 00:00:00,54,2023-03-13 00:00:00,64
2023-03-12 00:00:00,72,2023-03-12 00:00:00,52
2023-03-10 00:00:00,14,2023-03-10 00:00:00,19
2023-03-09 00:00:00,35,2023-03-09 00:00:00,26
2023-03-08 00:00:00,42,2023-03-08 00:00:00,30
2023-03-07 00:00:00,19,2023-03-07 00:00:00,12
2023-03-06 00:00:00,7,2023-03-06 00:00:00,8
2023-03-05 00:00:00,35,2023-03-05 00:00:00,26
2023-03-03 00:00:00,95,2023-03-03 00:00:00,66
2023-03-02 00:00:00,35,2023-03-02 00:00:00,34
2023-03-01 00:00:00,47,2023-03-01 00:00:00,53
2023-02-28 00:00:00,1,2023-02-28 00:00:00,2
2023-02-27 00:00:00,32,2023-02-27 00:00:00,17
2023-02-24 00:00:00,29,2023-02-24 00:00:00,18
2023-02-23 00:00:00,52,2023-02-23 00:00:00,47
2023-02-22 00:00:00,35,2023-02-22 00:00:00,25
2023-02-21 00:00:00,57,2023-02-21 00:00:00,35
2023-02-20 00:00:00,37,2023-02-20 00:00:00,25
2023-02-19 00:00:00,18,2023-02-19 00:00:00,19
2023-02-16 00:00:00,25,2023-02-16 00:00:00,31
2023-02-14 00:00:00,69,2023-02-14 00:00:00,59
2023-02-13 00:00:00,17,2023-02-13 00:00:00,15
2023-02-12 00:00:00,8,2023-02-12 00:00:00,8
2023-02-11 00:00:00,110,2023-02-11 00:00:00,99
2023-02-10 00:00:00,10,2023-02-10 00:00:00,11
2023-02-09 00:00:00,29,2023-02-09 00:00:00,21
2023-02-08 00:00:00,2,2023-02-08 00:00:00,1
2023-02-07 00:00:00,27,2023-02-07 00:00:00,27
2023-02-06 00:00:00,11,2023-02-06 00:00:00,9
2023-02-04 00:00:00,24,2023-02-04 00:00:00,20
2023-02-03 00:00:00,30,2023-02-03 00:00:00,25
2023-02-02 00:00:00,198,2023-02-02 00:00:00,166
2023-01-29 00:00:00,95,2023-01-29 00:00:00,91
2023-01-27 00:00:00,53,2023-01-27 00:00:00,50
2023-01-22 00:00:00,2,2023-01-22 00:00:00,1
2023-01-21 00:00:00,27,2023-01-21 00:00:00,19
2023-01-20 00:00:00,123,2023-01-20 00:00:00,105
2023-01-19 00:00:00,74,2023-01-19 00:00:00,58
2023-01-17 00:00:00,9,2023-01-17 00:00:00,12
2023-01-13 00:00:00,40,2023-01-13 00:00:00,39
2023-01-12 00:00:00,25,2023-01-12 00:00:00,25
2023-01-11 00:00:00,10,2023-01-11 00:00:00,14
2023-01-06 00:00:00,57,2023-01-06 00:00:00,55
2023-01-01 00:00:00,2,2023-01-01 00:00:00,1
2022-12-30 00:00:00,17,2022-12-30 00:00:00,20
2022-12-27 00:00:00,179,2022-12-27 00:00:00,130
2022-12-26 00:00:00,31,2022-12-26 00:00:00,19
2022-12-25 00:00:00,89,2022-12-25 00:00:00,73
2022-12-24 00:00:00,72,2022-12-24 00:00:00,47
2022-12-23 00:00:00,62,2022-12-23 00:00:00,46
2022-12-22 00:00:00,125,2022-12-22 00:00:00,107
2022-12-21 00:00:00,138,2022-12-21 00:00:00,163
2022-12-20 00:00:00,14,2022-12-20 00:00:00,17
